,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_mean_train_score,user_attrs_split0_test_score,user_attrs_split0_train_score,user_attrs_split1_test_score,user_attrs_split1_train_score,user_attrs_split2_test_score,user_attrs_split2_train_score,user_attrs_split3_test_score,user_attrs_split3_train_score,user_attrs_split4_test_score,user_attrs_split4_train_score,user_attrs_split5_test_score,user_attrs_split5_train_score,user_attrs_split6_test_score,user_attrs_split6_train_score,user_attrs_split7_test_score,user_attrs_split7_train_score,user_attrs_split8_test_score,user_attrs_split8_train_score,user_attrs_split9_test_score,user_attrs_split9_train_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,user_attrs_std_train_score,state
0,0,0.729266565624018,2022-09-13 16:29:20.757832,2022-09-13 16:29:23.222931,0 days 00:00:02.465099,0.7173388039520152,14,15,50,7.764212874401259,13.392497213014021,0.6545829541912086,0.15298609733581542,0.03539302349090576,0.729266565624018,0.7901506738666686,0.7301587301587302,0.7908183002326441,0.7181790955375861,0.7938915965328396,0.73260296206127,0.7899988955021385,0.7956651112463651,0.7870981461745221,0.7505835667600373,0.7906126172236164,0.738562091503268,0.7902211151102893,0.6827731092436975,0.7922157740060758,0.7006302521008403,0.7904227479857351,0.7134687208216619,0.7839345859199578,0.7300420168067228,0.7922929599788667,0.007314406967649605,0.004482552357686052,0.0288379972511119,0.0026752073758068706,COMPLETE
1,1,0.7022055129619306,2022-09-13 16:29:23.226665,2022-09-13 16:29:25.917786,0 days 00:00:02.691121,0.5140821750279226,14,23,70,0.9063108964483912,0.2254280624391436,0.5588123105497144,0.17117600440979003,0.038125014305114745,0.7022055129619306,0.8555411773152585,0.6681641209943097,0.8598124397489013,0.7310572027553159,0.8556762469784138,0.6914688577804828,0.857475266254046,0.7482416987894773,0.8531749368004675,0.7250233426704015,0.8517804368643508,0.6872082166199813,0.8593619980847973,0.6573295985060691,0.8552453440760798,0.7170868347338936,0.8551118164707436,0.6908263305322129,0.8546268243957205,0.7056489262371615,0.8531464634790649,0.006870828338390882,0.006569902503302084,0.02710730365587293,0.002513685034742714,COMPLETE
2,2,0.7107476800823799,2022-09-13 16:29:25.921493,2022-09-13 16:29:27.512948,0 days 00:00:01.591455,0.6617791291249204,2,41,54,6.674887590945864,12.598919012199564,0.699534446077072,0.07936294078826904,0.034707140922546384,0.7107476800823799,0.7351212878168396,0.7067984426474992,0.736974305938307,0.7163821503444145,0.7361878162215052,0.7116386014742679,0.7421881503864507,0.7139041049570569,0.7240591367937086,0.726890756302521,0.7278569128912957,0.7228057889822596,0.7394310939770176,0.6930438842203548,0.7381445235107648,0.7020308123249299,0.7399538535200105,0.7052987861811391,0.7285148510764761,0.7086834733893558,0.7379022338528596,0.00676864579997675,0.004890781807089264,0.00942049338358185,0.005762818543266132,COMPLETE
3,3,0.7238243562793346,2022-09-13 16:29:27.517307,2022-09-13 16:29:30.031615,0 days 00:00:02.514308,0.7366136784514128,15,39,50,1.5589254714288414,7.029464836507603,0.48127471933784877,0.15584030151367187,0.03622505664825439,0.7238243562793346,0.8171493269235803,0.7079964061096137,0.8178815971727655,0.7102425876010782,0.8176483338184386,0.7069554338270102,0.8159302798088724,0.7647764928653547,0.8183795450293063,0.7531512605042017,0.8139566272619205,0.7439309056956116,0.8180192098137631,0.6844070961718021,0.81954125941091,0.7131185807656396,0.8180400541540087,0.7162698412698413,0.8141273031964074,0.7373949579831933,0.8179690595694096,0.00441123840058121,0.0019917651042050248,0.02360197677076873,0.001762217139511797,COMPLETE
4,4,0.726952330942521,2022-09-13 16:29:30.035970,2022-09-13 16:29:32.659297,0 days 00:00:02.623327,0.9277216318194075,13,41,68,3.222501511549163,1.7396629379757949,0.6521069040830365,0.1681776762008667,0.03558008670806885,0.726952330942521,0.8207403580018336,0.7412398921832883,0.8203657486824749,0.7234201856843365,0.8190479139444007,0.7129235138973422,0.8242630567720144,0.7707445729356868,0.8187964105468006,0.7441643323996265,0.8178378021397437,0.7343604108309991,0.8180794726588297,0.6685340802987862,0.8255027407211729,0.7114845938375349,0.8208841715097082,0.7309757236227825,0.8207320697397966,0.7316760037348272,0.8218941933033945,0.01316866709294822,0.0021020237570427373,0.025244316067847224,0.0024234387715216335,COMPLETE
5,5,0.7245811816306965,2022-09-13 16:29:32.663012,2022-09-13 16:29:34.622336,0 days 00:00:01.959324,0.6551836860325178,10,65,64,9.839577506523797,13.014594733721271,0.9343464136192554,0.1079636812210083,0.03363666534423828,0.7245811816306965,0.7647501286175283,0.737047020065888,0.7661357345008887,0.7102425876010782,0.7676098350435872,0.7196185838912559,0.7619485650182448,0.7805842970176506,0.7600154876976248,0.7570028011204482,0.7629125528331793,0.7259570494864613,0.7652237980451724,0.6959617180205415,0.7677181019680359,0.7033146591970121,0.7638887283714173,0.7183706816059757,0.7624230204068154,0.6977124183006536,0.7696254622903184,0.006952529146543533,0.0034757287693866663,0.02570381793800209,0.0028757545527590103,COMPLETE
6,6,0.732938710075225,2022-09-13 16:29:34.630474,2022-09-13 16:29:36.698647,0 days 00:00:02.068173,0.6050659849060844,15,55,66,3.037043222088671,14.823297767255807,0.9993504307016455,0.11686077117919921,0.034225845336914064,0.732938710075225,0.784568824747167,0.7303084755914945,0.787799088002213,0.7234201856843365,0.7857622654206688,0.7126022857915737,0.7809986803723312,0.7795360789883006,0.7795148204655211,0.753734827264239,0.7835661983225466,0.7566526610644257,0.7893716566503765,0.6881419234360411,0.785434140140008,0.7358776844070962,0.7850009493461894,0.7268907563025211,0.7818109397701757,0.7222222222222222,0.7864295089816404,0.0025039070745697706,0.003080040435598195,0.02417446145005715,0.0029363893351677522,COMPLETE
7,7,0.7297304710076362,2022-09-13 16:29:36.707154,2022-09-13 16:29:38.671154,0 days 00:00:01.964000,0.6174764789141973,12,51,38,8.258385336792895,12.467709280811334,0.5746481899369421,0.1108625888824463,0.033335089683532715,0.7297304710076362,0.7735305576393552,0.7487271638215034,0.7769812419106126,0.7181790955375861,0.7715272144020511,0.7245384459322377,0.7703332698659189,0.7826807330763508,0.7712790991913263,0.7478991596638656,0.7726864846123365,0.7343604108309991,0.7747312937524766,0.6865079365079365,0.7771591434420816,0.7214052287581699,0.7761282773081495,0.7278244631185808,0.7714432538634262,0.7051820728291316,0.7730362980451724,0.00382152351651022,0.0015835013340660103,0.024940504099139952,0.002405877361979479,COMPLETE
8,8,0.7244008264697641,2022-09-13 16:29:38.680755,2022-09-13 16:29:40.395107,0 days 00:00:01.714352,0.48930724142935433,4,45,58,8.473421944939028,9.327701331079439,0.931988823785365,0.08856182098388672,0.033181166648864745,0.7244008264697641,0.7518528461887122,0.7252171308775082,0.7509424458798054,0.7165318957771788,0.7532930386370814,0.7108270778386421,0.7504125381937834,0.7883275850409144,0.7540522295608136,0.7638888888888888,0.7520807191916523,0.728641456582633,0.753865283648131,0.719187675070028,0.7486529603090741,0.698062558356676,0.7493047071060626,0.6992296918767507,0.7499834896314885,0.694094304388422,0.7559410497292299,0.0029422330757367114,0.0015917789751437289,0.028607177711016264,0.002255144619221587,COMPLETE
9,9,0.7266553476736606,2022-09-13 16:29:40.398672,2022-09-13 16:29:42.390884,0 days 00:00:01.992212,0.78226855339083,7,49,62,7.021556902233115,9.592187249887127,0.7175190478318694,0.11425445079803467,0.032829785346984865,0.7266553476736606,0.7748153225342905,0.7401916741539383,0.7766662331683976,0.7181790955375861,0.7763908585536433,0.715746939879624,0.7738472627822961,0.783728951105701,0.7650283831222836,0.7610877684407096,0.7695984265618809,0.7301587301587302,0.7751706759344869,0.6902427637721755,0.7862086828028001,0.7064659197012138,0.7731568237353058,0.7134687208216619,0.7693359117025492,0.707282913165266,0.782749966979263,0.0037251067146079255,0.0016242210762560962,0.026668336014162523,0.005962496023418816,COMPLETE
