,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_mean_train_score,user_attrs_split0_test_score,user_attrs_split0_train_score,user_attrs_split1_test_score,user_attrs_split1_train_score,user_attrs_split2_test_score,user_attrs_split2_train_score,user_attrs_split3_test_score,user_attrs_split3_train_score,user_attrs_split4_test_score,user_attrs_split4_train_score,user_attrs_split5_test_score,user_attrs_split5_train_score,user_attrs_split6_test_score,user_attrs_split6_train_score,user_attrs_split7_test_score,user_attrs_split7_train_score,user_attrs_split8_test_score,user_attrs_split8_train_score,user_attrs_split9_test_score,user_attrs_split9_train_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,user_attrs_std_train_score,state
0,0,0.7100548730346267,2022-09-13 16:15:46.068711,2022-09-13 16:15:48.931041,0 days 00:00:02.862330,0.42181598687678423,230,0.2471471309661865,0.036596488952636716,0.7100548730346267,,0.6807427373465109,,0.7343516022761306,,0.710421316020829,,0.7265503482788935,,0.753968253968254,,0.7068160597572362,,0.6572128851540616,,0.7256069094304389,,0.6881419234360411,,0.7167366946778712,,0.024125939906297945,0.003743232706508121,0.02686932803533839,,COMPLETE
1,1,0.6905314215359506,2022-09-13 16:15:48.938110,2022-09-13 16:15:51.020374,0 days 00:00:02.082264,0.7786570745657246,130,0.17259140014648439,0.03387136459350586,0.6905314215359506,,0.6579814315663373,,0.7084456424079065,,0.703405017921147,,0.6967099479272334,,0.6952614379084967,,0.665499533146592,,0.667250233426704,,0.7070494864612511,,0.6812558356676004,,0.7224556489262371,,0.0124155832119585,0.002917287081585988,0.020379760293664288,,COMPLETE
2,2,0.7039754002635747,2022-09-13 16:15:51.024042,2022-09-13 16:15:56.124301,0 days 00:00:05.100259,0.11222506802501474,230,0.4666490316390991,0.04120943546295166,0.7039754002635747,,0.6865828092243187,,0.7142857142857143,,0.7002603638330966,,0.7234056941908433,,0.7186041083099907,,0.6894257703081232,,0.6624649859943977,,0.7218720821661998,,0.7019140989729225,,0.72093837535014,,0.010087033085652744,0.001210363576541277,0.01887122319761582,,COMPLETE
3,3,0.6845566640127344,2022-09-13 16:15:56.132642,2022-09-13 16:15:58.421198,0 days 00:00:02.288556,0.8764074066084702,160,0.19107916355133056,0.03604869842529297,0.6845566640127344,,0.6732554657082959,,0.6973644803833483,,0.7391289646310948,,0.6925170758098329,,0.6642156862745099,,0.6412231559290382,,0.6741363211951448,,0.688608776844071,,0.6839402427637722,,0.6911764705882353,,0.020942184981859697,0.004338420899219185,0.024070759583639214,,COMPLETE
4,4,0.7026316268036937,2022-09-13 16:15:58.425354,2022-09-13 16:16:01.639293,0 days 00:00:03.213939,0.27204031240702875,210,0.27911560535430907,0.04005115032196045,0.7026316268036937,,0.6796945193171609,,0.7053009883198562,,0.6992121458037466,,0.7184858321498613,,0.7466153127917834,,0.6888422035480859,,0.6609477124183006,,0.698062558356676,,0.7029645191409897,,0.7261904761904762,,0.025448905304185074,0.005576918517292815,0.02287914596688652,,COMPLETE
5,5,0.7306243759423022,2022-09-13 16:16:01.647434,2022-09-13 16:16:03.431956,0 days 00:00:01.784522,0.024878252120983477,60,0.14373278617858887,0.033140945434570315,0.7306243759423022,,0.7424378556454028,,0.7070979335130279,,0.7221207817677691,,0.7886488131466829,,0.7305088702147525,,0.7391456582633054,,0.6849906629318394,,0.7358776844070962,,0.7305088702147525,,0.7249066293183941,,0.006463356156502364,0.0011249290141631004,0.02519437000162339,,COMPLETE
6,6,0.7073767171709422,2022-09-13 16:16:03.436565,2022-09-13 16:16:05.960518,0 days 00:00:02.523953,0.19823558879607228,90,0.21369316577911376,0.03677599430084229,0.7073767171709422,,0.679245283018868,,0.7226714585205152,,0.7230844660850748,,0.729695002366944,,0.7302754435107376,,0.7069327731092436,,0.6509103641456582,,0.709733893557423,,0.6945611577964519,,0.7266573295985062,,0.00811021433245611,0.003662980567182385,0.0245452247227706,,COMPLETE
7,7,0.7031722518587472,2022-09-13 16:16:05.968474,2022-09-13 16:16:07.848274,0 days 00:00:01.879800,0.48929631315179933,50,0.14944074153900147,0.03681042194366455,0.7031722518587472,,0.6982629529799341,,0.7100928421683139,,0.7072766619327788,,0.7009873537566782,,0.7265406162464987,,0.723155929038282,,0.6657329598506069,,0.701797385620915,,0.6977124183006536,,0.7001633986928104,,0.015978675642708776,0.006284405799039213,0.015752769211666233,,COMPLETE
8,8,0.6933228809884675,2022-09-13 16:16:07.856982,2022-09-13 16:16:10.187323,0 days 00:00:02.330341,0.6708138715036405,150,0.19461824893951415,0.036636638641357425,0.6933228809884675,,0.6421084156933213,,0.7163821503444145,,0.7044532359504971,,0.6995333739095151,,0.7100840336134453,,0.6835901027077498,,0.657796451914099,,0.730859010270775,,0.7034313725490196,,0.6849906629318394,,0.012651091353299549,0.0021724110153419594,0.025564555964513864,,COMPLETE
9,9,0.7013238618636742,2022-09-13 16:16:10.194213,2022-09-13 16:16:12.983803,0 days 00:00:02.789590,0.5159967772058729,220,0.24007883071899414,0.03699114322662354,0.7013238618636742,,0.6870320455226115,,0.7105420784666068,,0.7328396564549942,,0.7153411780618111,,0.7079831932773109,,0.6877917833800187,,0.6736694677871149,,0.7044817927170868,,0.6775210084033614,,0.7160364145658263,,0.020679050379251607,0.0020262313255635604,0.018067094164900547,,COMPLETE
